rating	review
5	overall good chole is not good but it is okay okay
5	not received shikhand.. missing shikhand in parcel 
5	You must improve the quality of roti
5	best items 🥰🥰🥰
4	In Gujarati thali <br/>Very bad service<br/>2- Item missing <br/>No menu item <br/>Please don't order Gujarati thali<br/>_
5	Excellent taste
5	noodles k sath salad nahi diya tha aur tel bahut jayde tha
3	feel good 
5	Good 
1	marcha bov nakh 
1	taste not like mango and quantity was worth 10 rs
2	cheese taste is totally worst and cheese taste issue pure sour taste ...I do n't like this 
1	Requesting refund for pizza
5	🍰
1	Food was cold 
1	Food is totally cold not satisfied I want my refund
3	very good taste and fresh
4	one by one free not receive 
1	it could be better if u refund some money 
5	Pizza was not hot enough 👎🏻
5	pizza was chopped
5	super 
5	realy hot and fresh
4	Bad pizza
5	food good 👍
5	it was smaller than what it looked like in the picture so it seemed costlier
1	I got the wrong order
1	it took my order and half hour later says it won't deliver
1	After accepting order they denied for delivery After 45 min .. really bad service 😒 by zomato and restaurant 
5	nice
5	Good
1	This restaurant is using adulterated sodas. 
1	Not upto expectations and price point
1	The pizza did not seem fresh. It was very cold. 
2	taste is very bad and ingridents are not fresh. delivery is too slow.
1	the quantity of cheese was very less same as some regular marghereta pizza.<br/>
1	👍👍👍👍👍
1	on time delivery and yummy pizza 
1	na
1	If u can’t deliver what u promise…it’s better to shut the thing down and not to loot people on their money.
4	We ordered for cheese brust but didn't received the expected and also the pizza's were not served hot. 
1	.
3	.
4	received cold pizza.....pizza bread is too hard to chew....
5	best
1	.
1	The base was as thin as papad and we ordered pan crust and we got thin crust
1	veggies were extremely dry on informing the team they were not even ready to accept very bad experience 
2	please send fresh again 
1	delivery boy was pathetic
5	excellent 
5	liked the taste but its not filling. not worth the price i paid.
1	The food is cold and not fresh... Bad quality 
1	nice good test 
5	Coke was missing
1	I received it all cold
4	The pizza is all messed up and not in a condition to eat
4	improve it and resolved the order 
5	it was an absolute thandaaa pizzaa<br/>i wish it could be hot
5	Bakwas
5	taste is good but received cold
5	it was cold n soggy
1	awesome food and taste
5	Very good delivery and taste.<br/>The portion was appropriate for two .<br/>4.5/5
1	not hot... but taste is ok... low spicy
1	Too late delivery. Food was prepared too late. Delivery also too late. All the food was too cold.
5	I ordered tandoori paneer and I've received other item
3	good
1	the pizza was not cooked well<br/>it's feel like eating half cooked pizza
5	Nice person  good man
1	worst pizaaa ever extremely oily would want a refund
2	Good
5	fast 
2	Fastest delivery and awesome service. I got my order within 20 minutes. <br/>Thank you 
1	very good delevery.<br/>Thank you so much partner.
5	Refund of 50 given instead of arranging me the order : worst customer support
3	Good test
1	didt provide tomato souce chilliy souce with noodle
1	very very green chilli 🌶  not liked 
1	good 😊
5	note tasty food
3	foos quality is good 
5	great service 
1	fast 
3	👍 best
5	bhut tikha sabji bana diya tha
5	no cutlery 
3	Unhygienic food delivered
4	I ordered paneer butter Masala and they send shev sabji
5	Good taste! But u can add up a sweet in this package!
5	good
5	good
5	not delivered
4	delivery very good 
2	Good
1	excellent and best restaurant 
5	very very poor and unsatisfied with packaging and food quality
5	Fastest Delivery And Vary Good Communication 🙂🙂🙂🙂🙂
1	Even single piece is not crispy
1	very low quantity
1	very for nan
1	good work
4	not good as expected
5	nice
5	no salt no taste also onions were not fresh 
2	Worst food ever i have paid
5	not manchurian only serve oil wrost experiance
4	no
3	Nice Food
2	Yami
5	west of money <br/>
1	late delivery 
5	Great service thik sheke good quality...nicely greeting m indrajeet mandal thank you so muchh dairy don.....
1	Nice greting m.s inde jeet mandal all good survece kaju anjir tik shake good quality coco good test best in service thank you so much dariy don 
5	Gret survice think shake good quality cace fresh food and nice greeting good staff m Inderjeet mandal coco nice thank you for dry don 
5	<br/><br/>
1	One of the best desserts I had in city. Thick Shake is smooth and fresh. Love of visit here again :)
5	Nice love dairy done....enjoy ice cream.....................................................................................................
5	The taste is very authentic and classic. Tasted Kaju Draksh Ice Cream and found it to be pure in taste (no frozen ice/ water). The cold coco is too good. Worth visiting here again.
5	very bed condition <br/>cake is not good condition full melt please collect your cake very bed condition 
5	nice cake
5	product is not as shown and quality is not up to the mark
5	Bad
5	All Good
5	flavour is not the same that I ordered.
5	very good testy and fresh cack 
1	not good
5	we have paid full amount.  But we haven't  received the all items order  nor the payment.  please look into this matter.
5	cake was totally meshed and broken I am not happy with this delivery….
5	very good 
5	nice pastry 🥰<br/>
1	yum 😋 😋 😋 😋 😋 so nice and fresh cake I love it thank gays 
3	Please give quality product to your consumer.<br/>Because this kind of things may ill person who eat this product.
1	my cake is damage<br/>
5	Sent some other cake other than red velvet without even asking 
5	very bad quality of cake very bad service 
5	Ordered 2 cakes and ask them to write diff line on both. they missed writting name on one cake and the cake was broken too much.
5	osm good 
5	Damaged cake
5	worst hai 
5	Tottaly worst 
5	need refund
1	cake base was hard n it was over creamy. 
1	destroyed the cake very untidy work hopeless
1	all perfect
1	delayed delivery
1	getting melted cake from restaurant
5	very nice 
1	very bad condition
1	Taste bhi acha nahi hai quality bhi achi nahi hai hotel ko quality per focus karna chahiye rate 1star
5	very good koletiy thanks 👍👍😁
1	they made wrong food. read orders properly. 
1	Food is not as much as it should have<br/>please make improvement
1	excellent it's so delicious and yummy
1	mujhe chiken fried rice me khi chike mila hi nhi🤔
1	bad test 
1	very disappoint 
5	maine spicy food bola tha to ekdm feeka tha aur namak bhi maine daala ekdm acha nhi tha
3	tasty food
1	sweet and tasty 
1	too much spicy even I told u don't make spicy 
1	not good at all
2	No gravy in the parcel..?
1	too less in quantity
1	images wish totally different items 
5	awesome
2	nice 👍👍
1	no cutlery was sent even after instructions of sending cutlery 
5	very bad smell yoir food 
5	so tasty 😋 
5	firt time but bed experience
1	Yami it's gorgeous I like the taste
5	nice
5	nice work
5	Not test as per requirement
1	very bad. quality n quantity dono hi bakwas<br/>
1	Just unbelievable testy foods they provide. I thought everyone should try their foods. It just awesome testy.
2	So lovely taste and quality! It's always one of my favorite choice to order from online. This restaurant always provide best quality and delicious foods with very extensive menus.
5	I would rate 5 out 5 to this restaurant. <br/>Very yummy taste and very worthy deals of the dishes.. <br/>Great to say I am really satisfied by the taste and quality of the food of this restaurant.. <br/>Order from here.
4	You should taste foods of this restaurant because foods are totally great in the taste. I tried many foods of this restaurant which were very yummy guys..
3	Highly recommend from me to order from this restaurant because foods are best in the taste and best in quantity which will fully cover your hunger..
5	Good services! Recently I ordered some varieties of dishes from this restaurant. Dishes were in the decent amounts which were also very fabulous of the taste.
2	I am 100% Sure about you never try before that type of testy foods. Just nex lavel testy foods they provide. Must try.
1	I have ordered chicken lollipop dry yesterday evening for my evening snacks. It was so tasteful👍 and delicious😋. It was totally worth of money. 
2	I've ordered Veg Hakka Noodles from this restaurant. It was very delicious guys. You should taste it
4	Very deliciously made! Food was very delicious of taste which quality was also much good. Staff were helpful and presentation was good.
1	For the dinner yesterday we ordered few dishes from here. Dishes were totally amazing of taste and was very fresh and hot which we enjoyed totally at our dinner. Thank you🌹..
3	Very fast delivery service 🔥! Recently I placed order from this restaurant. Food quality was amazing guys... So tasty.. It was worth of money.
1	Recently I had a order of this restaurant. Guys that dish was absolutely fantastic and very tasty. <br/>This well cooked food was very worthy..
4	I ordered their Chicken Chinese Biryani.it is too tasty.their food quality is precious and flavorful.
5	Yesterday evening I have ordered veg Manchurian dry from this restaurant. It was so good and tasteful👍. I just loved it. 
5	Packaging was done really nicely and they maintain as clean as everyone likes. Dish was tasty and hot.. Delivery time was fast.
1	i ordered chicken fry from this restaurant.all most all food items are nice and good in quality.....
1	I recently ordered from this restaurant chicken lolipop dry it's very delicious and amazing food perfectly presentation of food
5	different types of chinese food items are provided here.good restaurant and good service............
1	I taste their veg hakka noodles.it is delicate in taste.their food quality and quantity is perfect and incredible.
1	I want my money back shit greenee food is very worst smell is coming 
1	As such it was good but the onions were bit more due to which the taste was fine
2	The sandwich was dipped in black coffee as it was not nicely packed
5	do not fool people
5	cold chocolate mangaya tha jhag bharke de Dia. 
5	not good it's black nd not even hot
5	itni ghatia idli aur chutney kabhi nahi khaye.. chatney ke naam pe paani.. auridli ke naam pe sukhi huye suji🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮
5	basi burger
5	l will not order on this restaurant 
5	No taste
5	Need refund of this sandwhich they added aachar in the sandwhich instead of peri peri
5	Every good
5	it was cold food
5	chutney I asked they did not give
5	All good
1	not good quality 
5	too less quantity 
3	 a very bad expirence <br/><br/> would like to get a compensation of the iced tea <br/>it's packing was horrible <br/><br/><br/>it killed the mood to drink it <br/><br/><br/><br/><br/><br/><br/>
1	ice tea is missing and not received only sandwich
1	tatse was nice but the quantity of every food wasn't as expected for this price.
2	no cheese in sandwich &amp; it was burnt &amp; chutney was smelling badly 
1	very bad<br/>it was packed well
1	Worst service by delivery partner just wasted my time and energy
5	Write what are you going to serve in your menu details.
1	order delayed<br/>.. terrible service 
1	Cake was very delicious 🫶🏻😇
5	as always it was delicious in taste.. even the staff is too cooperative .. I would request you to give a try to this choclate chips cake you won't regret ♥️
1	delay in delivery 
2	I bought cake with sparkling candle but s candle not Received.
2	Didn't write name on cake as I have written in massage.
1	good
4	cake was spilled everywhere.Disgusting not at all helpful 
1	I tell them to write tikku on cake but wrote fikku.
3	good👍
1	please refund my money. I ordered a beautiful cake and what i got 
1	ગુડ સર્વિસ 🙏
3	this is not the cake i ordered 
1	Mast testy
1	what we are ordering and what you delivered...<br/><br/>very bad habit and I will recommended on zomato not order on this shop nor to purchase
1	oyeeeeeee<br/><br/>No Name ??????????
4	too much creamy. cake was less cream was more
1	delevery boy was excellent 👍🏼 5star for him .
4	Very nice
2	delivery on time
3	very bad service 
1	test was very cheap your cake is spoiled our best moments and I had never expected that.......very disappointed 😞😞
4	the delivery boy destroyed the cake to the fullest.. 
5	it was not fresh and there was no taste at all
1	test bhut achha tha 
2	I Got damage cake... 
3	the decoration was completely ruined. it was a terrible birthday cake. Did not taste right
3	All Good Just Make A Proper Packing so the message doesn’t get Spoiled <br/>As today message was totally vanished<br/>It’s Rainy weather so no complains though <br/>Taste was superb 10/10
5	The taste was absolutely awesome.
5	best cakes on best price
5	got damage cake 
3	ok
2	the pastry delivery was not good
1	Good service and communication keep it up 
5	always rich on taste. 
1	I really ..... really..... ....good  taste..........superb  cake ...we love it so much................
5	Superb taste 😍👌will like to order again..........<br/>Thank you so much ....daddy cake................
1	doesn't pack in a gift form<br/>nd doesn't give e - card
1	Cake received with one side broken condition  and picture attached for your information
1	I pay for sparkle candle<br/>but restaurant not send me <br/>
2	They said flat 50% off and I ordered cake of 500gm but got around only 250gm cake. Such a disgusting.
5	Best service
5	good
2	Perfect taste n fresh
5	loved services at this late night during lockdown period 
5	I told them to call me and gave a number but they never call me and just send the cake they shoud follow the instructions 
1	not gud packing...my cake was destroyed till I ll received
1	excellent customer service
1	cake didn't reached home in good condition 
1	delivery guy is good 
1	very bad quality 
1	we didn't receive our order on time..  <br/><br/>
1	no tast
5	Sorry from your side bcoz -o is not available the worst biryani ever had
5	very bad stale food
1	Great Support 
3	biryani is super
1	Bhai Biryani Order Karke Apna Time Waste Mat Karo Sabse Ghatiya Biryani Dete Hai Chawal Alag Gravy Alag
5	delivery experience bahut achha tha magar biryani ka taste bahut kharab tha maine Thora sa khaya baki ka sab fenk diya very bad experience 
5	no test many west
1	very nice test
5	पिस ओर चाहिए 
5	Totally Waste Of Time And Money
5	Etna kharab oder dete he Zomato wale <br/>Mera pesha free me thodina aata he sir <br/>thoda Sha bhi ni test he Esme ye biryani West jari he 
1	good caulty
2	itna ghatiya biriyani main kabhi nahi khaya
1	Biryani junction great biryani 😋 teasty biryani bitiya ne lover only order for biryani junction I have so so test and I future naxt order to Biryani junction love you Biryani junction family order to short time because chicken piece very soft and testful totally Paisa vasool I request to Zomato company promote by Biryani junction I am so happy again
5	money is lost
5	Superb test biryani junction enjoy food and proud biryani yah biryani khakar mujhe Biryani ka enjoy mila hai ab main yahi ki biryani khana pasand karunga next order tu Biryani junction thank u so Mach
5	Biriyani is a very tasty food I like so much and you know what this Biryani delevery is so successfully it's so easy to order the biryani.so healthy for health and so testy and so yummy it's really wonderful 
5	Biryani is a very tasty food and it's a really wonderful test. You know what this Biryani is so healthy for health. I'm so happy food delivery successfully and it's a really good 
5	Biryani bohat achhi he ham ab se yahi Oder karinge or testi biryani he packing bhi bohat achhi he ham dosto ko bhi batainge yahi se oder kare or koi bhi family program me oder kare bas yahi kahungi Sab kuchh bohat gama i am so happy 
2	not properly packing and bad taste total wasting time and money 
1	there is no tikka chicken in this food also no raita 
2	Tasteless
5	simple fried with half cooked chicken.....ana karta sari to khichdi hoi
1	bhot kharab biryani milti hai koi mat lena chicken me se to smell aa ri thi🤮🤮
1	very Poor quality RICE USED AND I ORDER FOR BONELESS BUT RECIVED BONE order I Highly disagree with this order Request to You please Refund order i will order from Behrooz 
1	my food is heir
1	very bad item plz <br/>my payment refund
1	your biryani was totally rubies 
1	is best
1	disappointed worst biryani where is chikken pis 
1	Zomato should ban such restaurant's who are selling their  waste  food using this platform. 
1	fantastic
1	bekar hai don't oder 
1	very bad... 
5	good delivered 
1	raaita not given but got 2 rotis from them that's was fine
1	biriyani me se baas aa rahi thi
5	it doesn't look like biryani. sirf chawal de diya hem 
5	ok
5	six wings ordered but got only five and also cold dry in taste.  very bad 👎 experience today. 
1	I like 😍😍😍
1	thanks you
1	please improve taste and quality both.
1	Poor Taste
1	not good taste delivery so lat 
1	I had ordered butter chicken 🐔 it was really great taste and quality 👍👍👍👍👍👍👍👍👍👍👍 👍👍😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋😋
1	No
1	should change Paratha quality it's like papad very crunchy  really not setisfy  only 3 spone sabji served which only test good other rice and all are Bakawas 
5	Paratha missing
1	Nice food nice Quality 👌👌👌👌👌👍👍👍 Good presentation of the food we like it 👍👍👍👍👍<br/>Fish tikka was nice taste 
1	all good very testy and clear
1	GRAVY in chicken seekh kebab??????? 
5	this time service is amazing.<br/>I am satisfied.
1	Found kankad need refund
1	tasty
5	poor quality
5	Ok food - cannot be termed as “Premium”
5	pathetic food 
3	completely worst.<br/>i wrote that less spicy but not do as i say. worst quality. as a cost wise it's not worth
5	food was very good in test was very nice 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂👍👍👍👍👍🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂
1	exllcent test<br/>
4	i’m first time eat sweet biriyani bad quality
3	The paneer should still be made into small pieces 
3	not chilled my money gonna waste
2	Vgud
5	The toast had no cheese . So I paid 110 for veges ?
4	Bread butter jam price is much higher!
1	As already given instructions that plz note order is without cheez then y u sending with cheez sandwich…give refund
5	How can i eat 4 items in just one packet of chatni?
5	sandvich can not into pieces..
3	Good
2	quantity of chatney very less
1	ok
5	Very salty
5	requested for onions in sandwiches but same was ignored 
5	it's not chessy ... 😑😑😑😑
3	SIZE OF SANDWICH IS VERY SMALL ACCORDING TO ITS PRICE
1	a small piece of sandwich compared to price
5	Didn’t like Cocktail sandwich. Rates are too high.
5	good
5	too much salty package not perfect<br/>
5	Hopeless delivery.<br/>Sandwiches sent without packing. No ketchup or chutney supplied with sandwich
5	no chatni and ketchup packets are there in parcel
5	i think 200grm only
5	Very bed food. Why like this food available on Zomato.<br/><br/>Very bed food. Why like this food available on Zomato.
1	good 
1	food is cold
4	please be a little careful for food packing 
4	no sent spoon and tcu  papper  vary  bad service 
4	Keep improving and people will love it !
3	Worst money ower ek dam bekar aadami he koy khane mat jana aur mangana bhi nahi smc mene complaint kr di he. Iski
1	uncooked rice...No egg
1	Less quantity 
3	To be honest with the review ; good quantity for 2 person . Taste wise is ok but needs bit of improvement. I love it because they try to prepare with all the efforts required. I really appreciate that. My daughter loves to have it for dinner .
1	I never Order again in this Restaurant
3	nice meet you 
1	Packing was worst
1	good
3	very bad tests
1	on add on egg will provide and only one chicken pieces in hole chicken biryani 1 chicken piece for 159rs with order nice service by restaurant and zomato after this happens no Full refund will provide to you enjoy 1 pieces
1	good timing for delivery
1	The taste is good but the quantity is not at all satisfying. I ordered a full portion and received half of the quantity than the serve at restaurant. 
5	qty should be good
1	food awesome 
2	Everyday i m order the same food but today i feel you guys are using previous days rice
1	worst quality food of surat
5	good
2	awesome service by man
1	khapsa is so sweet and it's doesn't look like khapsa it's look like veg masala polav with sweet gravy 
5	taste can be improved
1	food is greasy 
4	yes its really worst experience to order...<br/>vegetables not fresh not cook well chicken old not fresh i got sickness since last night.
4	They have charged 35 rs for 1 tbsp of schezwan sauce 🙄
5	good
1	mere kash mere executive ko ine logon ne bahut delay kiya hai theek hai order Mera ready tha fir bhi unko Diya nahin aadha ghanta Tak udhar khada rakha hai aur mera order delay hua hai
3	bhai aap ko bola thaa k jara bhii egg mat nakh na fir bhii aap ne bhar bhar k egg nakh diya he instructions ka kya mtlb huaa
5	taste good 
1	bagdeli noodal bekar aitam<br/>noodal math gandhato swas
4	too oily
1	can be less oily but tastes good...👍🏻
5	ok ok
1	Very bad service by zomato. Order delivered after 1 hour and also I have to go out to collect the order. Not delivered at my house. Worst service. 
1	wrong delivery
1	packing can be better
1	only half quantity were there
5	One itom noddel nahi milla
1	normal 
3	Good
4	Only going to call chicken chilly from here
1	best test
1	super
4	Restaurant kept delaying order. Order received after more then 1 hour wait.
5	always delicious
5	taste is missing in fried rice
5	nice
3	very good
1	wrong order placed had ordered chicken khapsa they sent sezwaan fried rice 
4	There is cockroache in the food.
5	bohot bakwas rice thai
1	I want my money back
1	Chinese bhel very pathetic  . <br/> panner and Manchurian not cooked proper n salt extra  . <br/>don't dare to order this guy's. 
5	less salted.   it is tasteless
3	Only got hakka noddles didnt got manchurian with that and no response for zomato as well awful
5	this is my second time order and it's great again 
5	crispy kari jara bhi crispy crunchy nahi hai<br/>sirf alloo kha rahe ho aisa lagta hai
1	best test <br/>green chutney is excellent 
5	Taste was bit low
5	sent wrong order to me and i think they should check properly before sending 
1	Packaging  was bad !! Taste is good
1	order was delayed 
1	not at all good...... grilled sandwich was soft and bland
1	Very nice test
5	taste is not as good as expected. and quantity were really worst. owner says only 20 ps are there in full plate. rediculous. i dont  know what kind of diamonds are there ? 
1	okayish taste. can be better. 
5	amazing taste and quality ♥️
3	Taste was not at all good. Will not recommend anyone.
1	Didn’t send salads
1	chutney was sweet which was a  big turn off
3	I want my money back bcz food is completly bad and my free colddrink is not inside
5	container size is 300 ml &amp; they mentioned it will be 500 ml .... i need refund for this cheating
1	it is the worst experience because the restaurant did not have the answer properly..and was very rude.
4	late delivery plus very salty food. not crispy. very bad 
5	It wasn't Jain. As I asked them.
3	awesome food 😋😋😋
5	tasty and juicy
1	osm
5	testy 
2	good
1	good 
1	cheese grill sandwich boli thi...isme cheese hi nahi tha...bad taste
5	if this happens via Zomato then no ome will trust Zomato also
4	Lovely taste
5	Service is so fast and excellent 👌🏻👌🏻
2	fine 
1	Two sandwiches &amp; 1 Green chatni Not aceptable.
1	good 🥰🥰🤗
1	photo is not available good test
5	🥰
1	<br/>bhaji thik thik hai
5	full veg grill sandwich waste....due to no cheese...
2	Full fast  Delivery
2	good 
1	क्या बताऊ बहोत   😋😋👌👌👌
5	good
2	so bad
1	worst taste of pav bhaji<br/>did not send cutlery for rice <br/>bad experience
4	.
4	Packing should b improved n u should hv sent a dish n spoon atleast…
5	I Don't like food you send. so bad . i want cash back .  
5	nice
3	good
5	I order veg cheese sandwiches and they send me only veg sandwiches
5	sateesh was the delivery boy. i had paid the 181 bill online thrue gpay.  i was forgotten this and during delivery i paid again thrue cash with tip to the sateesh and he took 190rs without remembering my already paid payment.  give me refund please 
5	wasted of money and mainly wasted of food never ever again order from bismillah
1	cheese sandwich was beater so i didnt expected it 
5	bhaji lacked spices and pulao had too much of turmeric making it all bland in taste...... didn't get what we expected
5	only boiled bhaji (without any taste and flavours) 6 less pav as ordered
5	i didn't recive item
3	it was really bad....not worth the money also
1	Very good job
5	it's not hot 
3	taste has changed 
1	This 1* is because of the pathetic delivery packaging. The tea was fine but 50% was spilled when it arrived
2	good test
3	Maska bun with jam item not received. Please check before you dispatch anything to your customer.
3	good 
5	quantity should be more compare to price
1	nice
1	good 
2	super ❤️
5	nice delievery boy
3	awesome tha yaar. mast but 
5	good 
5	no
1	ok ok 
1	delivery boy is superfast
1	worst pizza you can ever eat in your whole life 
5	Good taste 
3	very nice
1	I added extra cheese but it wasn't added on my delivery
1	Need refund
5	this is bad product 
5	it is not  a pizza. it is a roti with suase<br/>🤭😄😄
3	not a good teast 
3	nice
1	Nice 
5	because this pizza pie service is very nice and give without cost extra chilli flakes and oregano
1	it was superb nothing is there to add in it 😀 😘
1	there is a thumbs up bottle last time while I ordered and this time you sent sprite why?
1	good
4	maja na aavi 
1	it's really good that you guys are available even late night. thank you 
5	good services
5	is bar cheese bahot km tha..isliye 3 star
5	amazing 
4	marghrita 2 pizza acha tha par dusra pizza jal gaya tha 😫😭
5	Happy
5	items were soggy even packing got damaged
5	topin to khali naam ki thi vas paw hi nikla
5	it's too good .... full loaded pizaaa.. nice I like it.. 
3	Refund my money soon 
5	Bkwas
5	awsome
5	the add on cheese burst is missing in pizza
5	Avarage taste... Need to improve taste from sauces side...<br/>Beside all Good.
5	Ice-cream was expired worst taste of ice-cream i ever eat. U can feel the water crisp in ice cream
5	All ice creams have crystallised ice and it is smelling and tasting very foul.
5	I had ordered for company packed and they sent custom packed and that too very less quantity.heights of cheating 
5	need reorder 
1	quantity was very less
3	bad service. asked and paid for regular scoop whereas the restaurant sent a small scoop. 
3	No fudge in chocolate fudge brownie
5	It's not what I had ordered it's not at all tasting like gold medal ribbon it's like chocolate and vanilla are being mixed and sent.
5	Found a pointed piece of plastic in the drink.
2	ordered factory seal 450 gms n see what i got.. satya from vesu branch doesn't accept that they are wrong. baskin robbin branch is cheating. zomato guy was really nice to wait till i spoke. taking this to consumer court for sure.
5	Completely melted. Cone also not crispy
1	Worst service like literally all the time. Sending small scoops on the order of large scoops. Really scammers WORST SERVICE
1	The ice cream box was not closed &amp; as you can see the quantity looks like someone has eaten from it or there is less quantity in it
1	milkshake was literally in water form 
1	Not value for money quality wise
2	Quantity was just half at price of 500ml
5	Baskin robbins always do this please note
1	Delicious 
4	worst 
5	Mint milk ice cream quantity was was less than half and<br/>I could not e even get 50% refund
1	👌🤘
5	Everything was melted.
5	The brownie wasn’t heated and was quite hard.
5	ice cream was melted when it reached me 
5	Not accepted from BR
5	very bed  service.ice cream is melt give us. very bed service. dilevary charge is more. and ice cream is very small. very bed service.
5	very less quantity. feel cheated 
2	received less quantity. received 2 scoop instead of 4 scoop
1	box was half empty :( 
1	quantity was very less
1	i have asked 4 large but the quantity is so less it looks like medium..<br/> such cheaters 
1	very low quantity for ordered
1	the size of scoop too small 
1	naish
2	good food
1	bahuotaacjahea
1	nice
1	very nice taste
1	Good food
1	good test n good service 
1	Nice test🥳🥳🥳🥳🥳
1	goodfood👍
2	Nice Teast 
2	ok
1	I like delivery boy 😂
1	nice taste 
1	good food test good 👍<br/>
1	nice testy.. superb service<br/>good quality.. yummy food
2	yummy😋
3	worst experience no taste
1	nice for the fast
1	good service 
4	good food
1	very nice testi😋😋
1	Pizza badhiya se dijiye bhai jala hua Pizza hai Aisa koi customer nahin lega paise bhi nahin denge
1	very testi
5	plz read order properly...before dispatching it....feels like some fools read or packed the order. 
4	good food
5	Keep this quality ahead also also delivers fast
4	fast delivery 
1	goodtast
5	cheese chilli mayo is very very good food and yummy test try now 😋 
5	super 
1	They never give cutlery. This is extremely frustrating. Multiple times i have reviewed and told them personally also. How do you eat with hands in office?
5	Horrible taste nd itnaa thanda pada hai paisa wapas karwaao
5	i order panner tikka but received munchirian 
5	good 👍 one
3	nice
5	Very bad experience 
2	bikar 50rupis mistek 
1	Test is Best
5	Good Taste
5	Tasteless
5	butter milk given in plastic pouche....like potli
5	very pour its bed product <br/>panir is missing 
5	totally worst and rotten chapati 
5	good food as compared to others. delivery in time and good price as well.
5	very good 😊😊😊
5	Please add spoon<br/>&amp;<br/>1 Glass for buttermilk
5	Tasty food and good quality
5	Khaman avya nathhi
4	good service and nice test 
5	good
5	West my money 
5	good service
5	hhh
1	good service and good test
4	all dhokla tests are same
1	sab kuch acha tha ever thing
2	feeling cheated
5	pls call me ZOMATO agent
1	worst food quality 
1	amazing taste with softy dhokla 
2	daal quantity is very less otherwise a value for money thali. 
5	why not send Kinley Soda. I have paid already. Not a good service. 
5	test is not good
5	You didn't send some items. 
5	Very nice quality and quantity
1	Good but could had decreased oil as requested
1	Good
1	worst khaman ever had in surat
4	Paratha upper layer was so thick.. Otherwise stuffing's taste was good.. 
1	nice taste
4	ok....ok ....
5	great 
1	good 
1	I love the stuffing of paratha
1	too much oily paratha.
5	EXCELLENT TASTE. MOUTH WATERING PARATHAS. 
4	A
5	good 
1	awesome 👌👌👌
1	Pathetic parathas. Never ever order from here.
4	🧚‍♀️
5	taste was good but was little spicy for my kids as i had ordered it for my kids only
1	Excellent
1	the Paratha is amazing it's actually delicious.And the delivery man is also very calm and Frank.
1	tasty
4	bad don't order food from Zomato.
4	Alu Paratha..really yummy
5	i
5	super tasty.
5	not liked green onions in paratha... 
3	tastes was osam
5	fast delivery
1	the food is ok ok.
2	my favourite 👌👌👌👌👌 very tasty 😋
4	i have told them not to make spicy.. but they cooked very spicy food... disappointed..
5	I ordered paneer pizza paratha but there was no cheese shredded topping just paratha no butter also applied n costly thn dine in charges. aNot happy 
1	So Good Delivery Package With all chutneies.. &amp; Test
5	my favourite ❤️❤️ very very yummy 😋😋😋😋😋😋😋😋😋😋
4	too expensive as per the quality n quantity 
3	they served no onion nd chutney.
5	quantity  is too less as per the price. you will get approx 200gm of chicken bhuna rice with 2-3 small pieces of chicken in 244 Rs. not worth. totally looting customers....
5	excellent excellent taste!!! completely authentic kolhapuri taste. I loved it. it's been a long time since I had true Maharashtrian food and the food I bought from here did complete justice to my taste buds! this place is going to be my regular. thanks alot to open a nonveg maharashtrian restaurant in surat! thanks alot!!!!
3	same as above
1	not delicious food 
5	very good food yesterday I was rate courier but mistake I restaurant..foood is nice
5	instead of Roti received chapati
1	Good test. Thank you for this dish ☺️
5	no taste of chicken only oily 
5	didnot recieved roti which I ordered and paid for
5	TOO LESS QUANTITY TOO MUCH  🙄🙄🙄😓😓😓😓
4	good food
5	Testy
4	Quantity of the food is very less. I ordered for 2-3 people and it seems like they have send for 2 people
5	test is best
1	good food 
3	not even deserve one star
1	I am from Hyderabad. I don't know why the biryani looks like a paste here in surat. In most of the restaurants it is like a kichidi. In Bombay cha tadka.. it is okay...not so bad. but still it can be better. Taste wise it is good .but the spiceness of the dish is diluted by the more fried onions. Fried onions should be used a top garnish not in the dum masala. who will like the sweet biryani.
3	I ordered almost 300+ rs. they didn't given a piece lemon and onion. the taste is too salty
2	We order 500 instead of this the quantity is less
5	The taste was good but the chicken was not fully cooked. 
2	Please do ensure you serve appropriate quantity of chicken. As per our 2 orders observance there is only 2 small bone piece served in each ordered. 
5	Delicious food and great experience with restaurant
4	can increase quantity for rate however taste is good
3	homely taste and the food made my day.. Typical Maharashtrian spicy tastey food.. 
5	Vary bad ford im vary angry not odr  me waffle &amp;momos vary vary bad  ford ye I’m not odr in online 😡😡😡😡😡😡
1	ok
5	provide good facilities form the man who give food delivery 
4	😍
5	nic3
1	very bed in test.. 
5	The delivery man was late by 30 min . and had damaged my food very badly spilled the sauce inside and the container was crushed as well . I am not happy with theway my food came to me.
2	Wrong order rcvd 
1	this is very yummy thanks to cheff for this momos and fried momos are very very tasty  amazing thank u so much 
1	nice
4	Taste was awesome. Must try ❤️
5	excellent taste <br/>amazing
4	good 
